 (4.656293725752470824e-06+2.383830447948539727e-09j), (1.513985974062631369e-05+8.024928639327345472e-09j), (1.077015340033959771e-04+4.810164363368190954e-07j)
 (4.655922572476589762e-06+1.338942430847410265e-08j), (1.513903714094565370e-05+4.510077227590803366e-08j), (1.075641701187459831e-04+2.696558852969355058e-06j)
 (4.644879180587327202e-06+7.267546132959216514e-08j), (1.511411233665874993e-05+2.491531643730665762e-07j), (1.036929527247072139e-04+1.384390209936041741e-05j)
 (4.506752266029747850e-06+2.522449389479805405e-07j), (1.468353502823867071e-05+1.075212911419133319e-06j), (7.408398489609843566e-05+2.879708789870905541e-05j)
 (4.150567902087225277e-06+5.601629307644853999e-07j), (1.280708439549069041e-05+2.309752251830263395e-06j), (4.015028854480218754e-05+2.426728844014320970e-05j)
 (3.397300555568092361e-06+1.079825546060161089e-06j), (9.690155501228003729e-06+3.106425274073281915e-06j), (1.937099620305958835e-05+1.391275166725894996e-05j)
 (1.950800162299264764e-06+1.727532159125191954e-06j), (5.397853153220225410e-06+2.994273835661422114e-06j), (6.677771423179337237e-06+6.221236705722588024e-06j)
 (-2.979740970305945122e-06+1.883154658655084780e-06j), (-3.690048743498560871e-07+1.888217999500275602e-06j), (-1.722059953482471228e-07+2.057607361055598735e-06j)
 (-5.554669804263566682e-06+5.445043953280540540e-07j), (-2.138775711950635927e-06+6.257615475479121159e-07j), (-1.191513494458605636e-06+8.282234539426540927e-07j)
 (-6.210255818791509191e-06+6.193737304530397520e-07j), (-2.607452025907740175e-06+7.389488442372565473e-07j), (-1.578065052239019826e-06+9.571673192076175722e-07j)
 (-7.539232674758264217e-06+4.178270529758584296e-07j), (-3.600419122827513907e-06+5.438501969623623716e-07j), (-2.360664180483347267e-06+7.524516131924088470e-07j)
 (-4.743023985957143233e-05+6.099265342245617245e-05j), (-1.667368877853296231e-05+3.490831012514949050e-04j), (-5.188934370168068642e-06+8.157585056886416551e-04j)
 (-3.065923575858990446e+00+2.943385785413421551e-02j), (-6.564936972746698851e-01+8.183158738448883529e-01j), (-1.546829226726805949e-03+3.817390233650376530e+01j)
