Material,Ref,Mu,Sigma
Brass,Br,1,1.50E+07
Brass_Nickel_Plated,BN,1,1.63E+07
Copper,Cu,1,5.80E+07
CuproNickle_84_16,CN84,1,5.26E+06
CuproNickle_75_25,CN75,1,2.91E+06
CuproNickle_70_30,CN70,1,2.67E+06
CuproZinc_97_2.5,CZ97,1,4.03E+07
CuproZinc_76_20,CZ76,1,1.93E+07
Gold,Au,1,4.25E+07
Platinum,Pl,1,9.43E+06
Silver,Ag,1,6.30E+07
Steel_Carbon,SC,5,6.20E+06
Steel_Stainless_200_Series,S200,1.02,1.46E+06
Steel_Stainless_300_Series,S300,1.28,1.31E+06
Steel_Stainless_400_Series,S400,885,1.63E+06
Steel_stainless_440,S440,5,1.60E+06
Steel_Stainless_10000_Series,S10000,95,1.21E+06
Titainium,Ti,1,5.62E+05
