Filepath,Object,Materials
GeoFiles/Class_Weapons/Class_Knives/Class_Kitchen/OBJ_Wusthof,Wusthof,[S440;Cu]
GeoFiles/Class_Weapons/Class_Knives/Class_Kitchen/OBJ_Cheap_Chef,Cheap_Chef,S440
GeoFiles/Class_Weapons/Class_Knives/Class_Kitchen/OBJ_Cheap_Cutlet,Cheap_Cutlet,S440
GeoFiles/Class_Weapons/Class_Knives/Class_Kitchen/OBJ_Cleaver,Cleaver,[S440;Cu]
GeoFiles/Class_Weapons/Class_Knives/Class_Kitchen/OBJ_Santoku,Santoku,[S440;Cu]
GeoFiles/Class_Weapons/Class_Guns/Class_Handguns/Class_TT-33/OBJ_Receiver,Receiver,SC
GeoFiles/Class_Weapons/Class_Knuckle_dusters/OBJ_Knuckle_dusters,Knuckle_dusters,Br
GeoFiles/Class_Weapons/Class_Knuckle_dusters/OBJ_Knuckle_dusters_rounded,Knuckle_dusters_rounded,Br
GeoFiles/Class_Tools/Class_Hammers/OBJ_Claw_wooden_handle,Claw_wooden_handle,S200;S300;S440
GeoFiles/Class_Tools/Class_Hammers/OBJ_Square_hammer,Square_hammer,S200;S300;S440
GeoFiles/Class_Tools/Class_Screwdrivers/OBJ_Short_circular_plushead,Short_circular_plushead,S200;S300;S440
GeoFiles/Class_Tools/Class_Screwdrivers/OBJ_Short_circular_flathead,Short_circular_flathead,S200;S300;S440
GeoFiles/Class_Tools/Class_Screwdrivers/OBJ_Regular_circular_plushead,Regular_circular_plushead,S200;S300;S440
GeoFiles/Class_Tools/Class_Screwdrivers/OBJ_Regular_circular_flathead,Regular_circular_flathead,S200;S300;S440
GeoFiles/Class_Tools/Class_Screwdrivers/OBJ_Long_circular_flathead,Long_circular_flathead,S200;S300;S440
GeoFiles/Class_Tools/Class_Screwdrivers/OBJ_Long_circular_plushead,Long_circular_plushead,S200;S300;S440
GeoFiles/Class_Keys/Class_House_Keys/OBJ_Round_No_Groove,Round_No_Groove,Br
GeoFiles/Class_Keys/Class_House_Keys/OBJ_Square_Groove,Square_Groove,Br
GeoFiles/Class_Keys/Class_House_Keys/OBJ_Round_Groove,Round_Groove,Br
GeoFiles/Class_Keys/Class_House_Keys/OBJ_Square_Chamfer_Groove,Square_Chamfer_Groove,Br
GeoFiles/Class_Jewlery/Class_Bracelets/OBJ_Bangle_cutout_spheres,Bangle_cutout_spheres,Au;Ag;Pl
GeoFiles/Class_Jewlery/Class_Bracelets/OBJ_Bangle_cutout,Bangle_cutout,Au;Ag;Pl
